,PostCount,UserId,DisplayName,Year
0,3,108,rapaio,2014
1,3,108,rapaio,2015
2,7,108,rapaio,2016
3,2,108,rapaio,2017
4,2,108,rapaio,2018
5,6,108,rapaio,2019
6,103,11097,Dawny33,2015
7,136,11097,Dawny33,2016
8,24,11097,Dawny33,2017
9,19,11097,Dawny33,2018
10,3,11097,Dawny33,2019
11,1,1330,Brian Spiering,2015
12,17,1330,Brian Spiering,2017
13,27,1330,Brian Spiering,2018
14,28,1330,Brian Spiering,2019
15,5,14675,ncasas,2016
16,40,14675,ncasas,2017
17,31,14675,ncasas,2018
18,12,14675,ncasas,2019
19,1,14904,Jan van der Vegt,2015
20,104,14904,Jan van der Vegt,2016
21,66,14904,Jan van der Vegt,2017
22,21,14904,Jan van der Vegt,2018
23,5,14904,Jan van der Vegt,2019
24,122,21,Sean Owen,2014
25,73,21,Sean Owen,2015
26,58,21,Sean Owen,2016
27,28,21,Sean Owen,2017
28,31,21,Sean Owen,2018
29,33,21,Sean Owen,2019
30,20,23305,oW_,2016
31,78,23305,oW_,2017
32,65,23305,oW_,2018
33,92,23305,oW_,2019
34,29,2452,Aleksandr Blekh,2014
35,121,2452,Aleksandr Blekh,2015
36,4,2452,Aleksandr Blekh,2016
37,3,2452,Aleksandr Blekh,2017
38,1,2452,Aleksandr Blekh,2018
39,1,2452,Aleksandr Blekh,2019
40,55,28628,Icyblade,2017
41,3,28628,Icyblade,2019
42,62,29587,JahKnows,2017
43,252,29587,JahKnows,2018
44,36,29587,JahKnows,2019
45,47,381,Emre,2014
46,44,381,Emre,2015
47,306,381,Emre,2016
48,597,381,Emre,2017
49,251,381,Emre,2018
50,1,381,Emre,2019
51,255,45264,n1k31t4,2018
52,110,45264,n1k31t4,2019
53,140,50727,David Masip,2018
54,1,50727,David Masip,2019
55,17,548,indico,2014
56,20,836,Neil Slater,2014
57,79,836,Neil Slater,2015
58,219,836,Neil Slater,2016
59,480,836,Neil Slater,2017
60,288,836,Neil Slater,2018
61,113,836,Neil Slater,2019
62,2,843,Franck Dernoncourt,2014
63,16,843,Franck Dernoncourt,2015
64,12,843,Franck Dernoncourt,2016
65,13,843,Franck Dernoncourt,2017
66,1,843,Franck Dernoncourt,2018
67,17,8820,Martin Thoma,2015
68,72,8820,Martin Thoma,2016
69,80,8820,Martin Thoma,2017
70,73,8820,Martin Thoma,2018
71,35,8820,Martin Thoma,2019
72,28,8878,Kasra Manshaei,2015
73,14,8878,Kasra Manshaei,2016
74,18,8878,Kasra Manshaei,2017
75,87,8878,Kasra Manshaei,2018
76,24,8878,Kasra Manshaei,2019
77,62,9420,AN6U5,2015
78,51,9420,AN6U5,2016
79,5,9420,AN6U5,2017
80,9,97,IharS,2014
81,12,97,IharS,2015
82,1,97,IharS,2019
