,PostCount,OwnerUserId,DisplayName,Year
0,6,11097,Dawny33,2015
1,3,11097,Dawny33,2016
2,4,11097,Dawny33,2017
3,2,11097,Dawny33,2018
4,1,11097,Dawny33,2019
5,1,1330,Brian Spiering,2017
6,1,1330,Brian Spiering,2018
7,1,1330,Brian Spiering,2019
8,2,14675,ncasas,2017
9,6,14904,Jan van der Vegt,2016
10,4,14904,Jan van der Vegt,2017
11,1,14904,Jan van der Vegt,2018
12,1,14904,Jan van der Vegt,2019
13,1,23305,oW_,2016
14,3,23305,oW_,2017
15,1,23305,oW_,2018
16,1,23305,oW_,2019
17,1,2452,Aleksandr Blekh,2015
18,2,28628,Icyblade,2017
19,1,28628,Icyblade,2019
20,1,45264,n1k31t4,2018
21,14,50727,David Masip,2018
22,2,50727,David Masip,2019
23,2,836,Neil Slater,2014
24,2,836,Neil Slater,2015
25,2,836,Neil Slater,2017
26,12,843,Franck Dernoncourt,2015
27,6,843,Franck Dernoncourt,2016
28,5,843,Franck Dernoncourt,2017
29,1,843,Franck Dernoncourt,2018
30,17,8820,Martin Thoma,2015
31,34,8820,Martin Thoma,2016
32,27,8820,Martin Thoma,2017
33,14,8820,Martin Thoma,2018
34,9,8820,Martin Thoma,2019
35,1,8878,Kasra Manshaei,2015
36,1,9420,AN6U5,2016
37,11,97,IharS,2014
38,4,97,IharS,2015
